timestamp,epoch,event,coin,direction,timeframe,strategy,order_type,entry_price,exit_price,shares,cost_usd,pnl_gross,pnl_net,fees,pnl_pct,balance_after,mode,confidence,reason,market_id,trade_id,duration_secs,win_streak,loss_streak,size_multiplier
2026-03-07T13:10:07.105767Z,1772889007,BUY,BTC,DOWN,15,cross_tf_arb,FOK,0.3200,,5.50,1.76,,,,,10.90,PLANT,0.990,,1514814,120a20c6,,0,0,1.00
2026-03-07T13:10:08.150368Z,1772889008,BUY,BTC,UP,15,cross_tf_arb,FOK,0.4900,,3.00,1.47,,,,,9.43,PLANT,0.990,,1514833,7cfa64cf,,0,0,1.00
2026-03-07T13:10:11.009232Z,1772889011,BUY,SOL,DOWN,15,cross_tf_arb,FOK,0.1000,,12.90,1.29,,,,,8.14,PLANT,0.990,,1514818,08409ecb,,0,0,1.00
2026-03-07T13:10:11.530565Z,1772889011,BUY,SOL,UP,15,cross_tf_arb,FOK,0.4700,,3.00,1.41,,,,,6.73,PLANT,0.990,,1514834,1f751a58,,0,0,1.00
2026-03-07T13:25:04.084666Z,1772889904,BUY,BTC,UP,15,cross_tf_arb,FOK,0.3600,,4.75,1.71,,,,,11.19,PLANT,0.990,,1514919,cefccaa3,,0,0,1.00
2026-03-07T13:25:04.982415Z,1772889904,BUY,BTC,DOWN,15,cross_tf_arb,FOK,0.4100,,4.00,1.64,,,,,9.55,PLANT,0.990,,1514933,75de7bda,,0,0,1.00
2026-03-07T13:26:11.822710Z,1772889971,BUY,BTC,UP,15,cross_tf_arb,FOK,0.2700,,4.00,1.08,,,,,8.47,PLANT,0.990,,1514919,00d27bd8,,0,0,1.00
2026-03-07T13:26:14.193945Z,1772889974,BUY,BTC,DOWN,15,cross_tf_arb,GTC,0.4700,,5.00,2.35,,,,,6.12,PLANT,0.990,,1514933,248f1109,,0,0,1.00
2026-03-07T13:39:14.279517Z,1772890754,BUY,ETH,UP,15,spike_fade,GTC,0.1200,,33.75,4.05,,,,,11.01,PLANT,0.930,,1514938,dcfe4818,,0,0,1.00
2026-03-07T13:41:36.710197Z,1772890896,BUY,ETH,DOWN,5,spike_fade,GTC,0.1400,,26.00,3.64,,,,,9.97,PLANT,0.930,,1514948,2c9f8aa4,,0,0,1.00
2026-03-07T13:43:06.600802Z,1772890986,BUY,SOL,DOWN,5,spike_fade,GTC,0.1400,,19.00,2.66,,,,,7.31,PLANT,0.930,,1514949,09816393,,0,0,1.00
2026-03-07T13:43:12.983201Z,1772890992,SELL,ETH,DOWN,5,spike_fade,GTC,0.1400,0.0400,26.00,3.64,-2.6000,-2.7038,0.1038,-74.3,8.25,PLANT,0.930,stop_loss,1514948,2c9f8aa4,96,0,1,0.95
2026-03-07T13:50:10.541387Z,1772891410,SETTLE,SOL,DOWN,5,spike_fade,GTC,0.1400,1.0000,18.98,2.66,16.3264,0.0000,0.0000,0.0,8.06,PLANT,0.930,market_settled,1514949,09816393,423,0,1,0.95
2026-03-07T13:51:31.086064Z,1772891491,BUY,ETH,DOWN,15,spike_fade,FOK,0.1100,,17.00,1.87,,,,,6.19,PLANT,0.930,,1514953,9b7a4015,,0,1,0.95
2026-03-07T13:55:08.008627Z,1772891708,BUY,ETH,DOWN,15,cross_tf_arb,FOK,0.2300,,5.00,1.15,,,,,5.04,PLANT,0.990,,1514953,55bdf9be,,0,1,0.95
2026-03-07T13:55:08.522988Z,1772891708,BUY,ETH,UP,15,cross_tf_arb,FOK,0.3400,,3.00,1.02,,,,,4.02,PLANT,0.990,,1514975,e20d7586,,0,1,0.95
2026-03-07T13:55:34.621089Z,1772891734,SELL,ETH,DOWN,15,spike_fade,FOK,0.1100,0.3000,17.00,1.87,3.2300,3.0018,0.2282,160.5,8.89,PLANT,0.930,profit_take,1514953,9b7a4015,243,1,0,1.00
2026-03-07T13:55:37.519037Z,1772891737,BUY,BTC,DOWN,15,cross_tf_arb,FOK,0.2300,,5.00,1.15,,,,,2.87,PLANT,0.990,,1514952,9386b0dd,,1,0,1.00
2026-03-07T13:55:38.007417Z,1772891738,BUY,BTC,UP,15,cross_tf_arb,FOK,0.4100,,3.00,1.23,,,,,1.64,PLANT,0.990,,1514974,36577dbb,,1,0,1.00
2026-03-07T14:07:27.998586Z,1772892447,BUY,BTC,UP,15,spike_fade,FOK,0.1400,,10.50,1.47,,,,,5.05,PLANT,0.930,,1514987,9063d147,,1,0,1.00
2026-03-07T14:14:50.202165Z,1772892890,BUY,BTC,UP,5,yes_no_arb,GTC,0.8300,,5.00,4.15,,,,,0.90,PLANT,0.930,,1514996,eaf6953b,,1,0,1.00
2026-03-07T14:18:29.362217Z,1772893109,BUY,SOL,UP,5,time_decay,GTC,0.6300,,5.00,3.15,,,,,1.90,PLANT,0.950,,1515085,7d10d22b,,1,0,1.00
2026-03-07T14:23:45.481481Z,1772893425,BUY,SOL,UP,5,time_decay,GTC,0.6600,,5.00,3.30,,,,,1.75,PLANT,0.950,,1515093,9f233485,,1,0,1.00
